steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
420000	2100	7453.888988733292	-146.0582035422316	-120.2972093772853	78.79315877350217	-1.7777680637461772	-276.3081626732719	-15.7519245	-15.771872	0.15876942798495292	0.17449319146573544	410001	-1.1061567	0.01618921011686325
425000	2124	7541.305385351181	-151.39480636465134	-117.45699511368656	92.74933797744833	-0.39996869594489354	-333.38147136618807	-14.395808	-14.370995	0.17586887277662755	0.1358469070121646	415001	-0.98929054	0.017746709287166595
430000	2148	7634.047200679779	-150.11714818054728	-122.0872887281221	105.8626438103406	-0.11067623589740115	-335.7490425284199	-15.686756	-15.682457	0.19830030493438244	0.1925293106585741	420001	-0.93823755	0.018053947016596794
435000	2172	7726.402393817902	-170.32196675592107	-172.07481432424242	91.5638322932821	-0.19645717829693005	-327.5709456790549	-14.05681	-14.060042	0.20666096724569796	0.2047185427695513	425001	-0.9852947	0.019687607884407043
440000	2200	7814.389074802399	-129.19034692246098	-120.15901405377114	101.5309472079801	-0.10636163495112148	-241.73478145861446	-16.901539	-16.905933	0.1661853501200676	0.1946923179924488	430001	-1.2206095	0.017028093338012695
445000	2224	7901.735559463501	-120.61909877106012	-121.60061660762413	77.82083890038403	-0.9498668049361485	-235.64177204787046	-15.3038225	-15.2378025	0.29023240841925146	0.28798750586807725	435001	-1.0138785	0.022426895797252655
450000	2248	7990.268167972565	-127.81465307265756	-120.21140054633284	83.16972711562849	-0.2553390362278386	-230.56668815364065	-14.350924	-14.339014	0.1528894519805908	0.1847766611352563	440001	-1.0992867	0.02088160812854767
455000	2272	8089.119993925095	-158.80633908756377	-120.11901717929129	66.32138164255022	-113.72171073731512	-290.895924725925	-14.433116	-14.411808	0.18844516284763813	0.17338400784879923	445001	-0.8781117	0.022528545930981636
460000	2300	8194.48479270935	-144.13284307924033	-120.96225282881323	97.77434178506886	-0.26138745885245984	-376.41676033631404	-15.564693	-15.585224	0.2013203986734152	0.2351882852241397	450001	-1.0762686	0.019398294389247894
465000	2324	8287.793194532394	-155.11599370519895	-124.43254456254235	78.868465899557	-0.4298267995946929	-241.51685098425259	-12.458636	-12.4337225	0.16792514503002168	0.2345207564532757	455001	-1.0298022	0.02044808678328991
